categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;RECOLECCIÓN DE RESIDUOS FUERA DEL CONTENEDOR;Solicitud;18/08/2021;00:05;12:00:00 AM;13;COLEGIALES;CIUDAD DE LA PAZ;1384;-34.56842984;-58.45150482;App BA 147;Masculino;Cerrado;18/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;18/08/2021;00:05;12:00:00 AM;7;PARQUE CHACABUCO;DIRECTORIO AV.;112;-34.6273077;-58.42841693;App BA 147;Femenino;Cerrado;20/08/2021;0:00:00;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:05;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;22/08/2021;00:06;12:00:00 AM;13;COLEGIALES;OLLEROS;3375;-34.57996659;-58.44953436;App BA 147;Masculino;Cerrado;24/08/2021;0:00:00;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;20/08/2021;00:06;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;Solicitud;23/08/2021;00:06;12:00:00 AM;5;BOEDO;MUÑIZ;812;-34.62363137;-58.42622251;GCS Web;Femenino;Abierto;;;;
ALUMBRADO;MAYOR ILUMINACIÓN EN CALLE;MAYOR ILUMINACIÓN EN CALLE / PLAZA;Solicitud;21/08/2021;00:06;12:00:00 AM;12;VILLA PUEYRREDON;ARTIGAS; JOSE GERVASIO; GRAL.;5500;-34.57715547;-58.50345962;GCS Web;Masculino;Abierto;;;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;20/08/2021;00:07;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS);Servicio;19/08/2021;00:07;12:00:00 AM;12;SAAVEDRA;SUPERI;4545;-34.54670568;-58.48357277;App BA 147;Femenino;Cerrado;19/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;21/08/2021;00:07;12:00:00 AM;13;COLEGIALES;CONESA;45;-34.57868321;-58.44093124;App BA 147;Masculino;Abierto;;;;
ALUMBRADO;MAYOR ILUMINACIÓN EN CALLE;MAYOR ILUMINACIÓN EN CALLE / PLAZA;Solicitud;18/08/2021;00:07;12:00:00 AM;9;MATADEROS;TANDIL;6540;-34.66170721;-58.50202376;GCS Web;Femenino;Abierto;;;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;20/08/2021;00:07;12:00:00 AM;9;LINIERS;MONTIEL;1165;-34.65197499;-58.52492148;App BA 147;Masculino;Abierto;;;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:08;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:08;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;21/08/2021;00:08;12:00:00 AM;13;BELGRANO;CONGRESO;2372;-34.55523851;-58.46196171;App Denuncia Vial;Masculino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;22/08/2021;00:08;12:00:00 AM;14;PALERMO;CORDOBA AV.;5647;-34.58711578;-58.44072375;GCS Web;Masculino;Abierto;;;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:09;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;19/08/2021;00:09;12:00:00 AM;12;SAAVEDRA;VALDENEGRO;3518;-34.56193607;-58.49027708;App BA 147;Masculino;Abierto;;;;
