categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;17/6/2021;11:57:13 PM;00:00;11;VILLA DEL PARQUE;NAZCA AV.;2309;-346.086.945.275.698;-584.834.430.680.752;App BA 147;Masculino;Cerrado;18/6/2021;4:01:10 PM;;
SALUD Y SERVICIOS SOCIALES;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;Denuncia;18/6/2021;11:50:53 PM;00:00;;;;;;;GCS Web;Femenino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;REPARACIÓN DE CESTO PAPELERO;Solicitud;19/6/2021;12:10:01 AM;00:00;11;VILLA SANTA RITA;HELGUERA;1845;-346.123.277.346.024;-584.842.665.715.764;App BA 147;Masculino;Cerrado;20/6/2021;6:57:33 PM;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;16/6/2021;11:49:58 PM;00:00;11;VILLA DEVOTO;CERVANTES;3137;-346.128.518.327.792;-58.520.880.890.061;App BA 147;Femenino;Cerrado;18/6/2021;2:32:09 PM;;
ALUMBRADO;REPARACIÓN DE LUMINARIA;LUMINARIA INTERMITENTE;Solicitud;19/6/2021;12:01:26 AM;00:00;15;PARQUE CHAS;ARISMENDI;2858;-345.861.606.395.766;-584.784.656.358.133;App BA 147;Masculino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/6/2021;12:10:41 AM;00:00;7;PARQUE CHACABUCO;VIEL;1973;-346.395.423.454.401;-584.278.169.784.365;Boti;Femenino;Cerrado;22/6/2021;8:01:34 AM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;17/6/2021;12:00:35 AM;00:00;4;PARQUE PATRICIOS;CASEROS AV.;2465;-346.355.308.346.809;-583.971.656.346.746;App Denuncia Vial;Masculino;Cerrado;18/6/2021;8:02:04 AM;;
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;Solicitud;17/6/2021;12:05:13 AM;00:00;10;VILLA LURO;"CALDERON DE LA BARCA; PEDRO";40;-346.365.957.836.759;-584.966.862.991.331;GCS Web;Femenino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;18/6/2021;12:04:58 AM;00:00;11;VILLA DEL PARQUE;LLAVALLOL;2210;-346.099.920.484.375;-584.912.377.147.617;App BA 147;Masculino;Cerrado;21/6/2021;1:49:14 AM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;16/6/2021;11:48:54 PM;00:00;15;VILLA CRESPO;"GANDHI; MAHATMA";630;-346.059.645.220.135;-584.441.165.855.268;App BA 147;Masculino;Cerrado;18/6/2021;8:49:48 PM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;16/6/2021;11:57:26 PM;00:00;4;PARQUE PATRICIOS;CASEROS AV.;2465;-346.355.308.346.809;-583.971.656.346.746;App Denuncia Vial;Masculino;Cerrado;18/6/2021;8:02:03 AM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;19/6/2021;11:46:11 PM;00:00;4;PARQUE PATRICIOS;FAMATINA;3523;-346.464.441.227.079;-584.113.519.532.471;App BA 147;Femenino;Cerrado;22/6/2021;8:55:30 PM;;
CALLES Y VEREDAS;MARCAS VIALES Y SEÑALES EN CALLE;REPINTADO / REPARACIÓN DE MARCA VIAL EN CALLE O CORDÓN;Solicitud;19/6/2021;11:58:35 PM;00:00;13;BELGRANO;VIDAL;;-345.632.444.405.677;-584.611.699.794.773;GCS Web;Masculino;Cerrado;5/7/2021;3:54:37 PM;;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;REUBICACIÓN DE CONTENEDOR;Solicitud;19/6/2021;11:55:37 PM;00:00;13;NUÑEZ;ARRIBEÑOS;3733;-345.438.890.097.958;-584.613.179.932.999;App BA 147;Masculino;Cerrado;22/6/2021;10:35:26 AM;;
CALLES Y VEREDAS;Nivelación;REPARACIÓN/NIVELACIÓN DE TAPA DE EMPRESA DE SERVICIO PÚBLICO EN VEREDA;Solicitud;18/6/2021;12:11:38 AM;00:00;3;SAN CRISTOBAL;PICHINCHA;1091;-346.217.202.997.511;-583.982.924.035.357;GCS Web;Masculino;Abierto;;;;
CALLES Y VEREDAS;MARCAS VIALES Y SEÑALES EN CALLE;REPINTADO / REPARACIÓN DE MARCA VIAL EN CALLE O CORDÓN;Solicitud;20/6/2021;12:03:21 AM;00:00;13;BELGRANO;CRAMER AV.;;-345.638.098.097.113;-584.621.310.983.422;GCS Web;Masculino;Cerrado;29/6/2021;10:40:40 AM;;
SEGURIDAD;OTROS;MAYOR PRESENCIA POLICIAL;Reporte;20/6/2021;12:10:06 AM;00:00;12;VILLA PUEYRREDON;DE LOS CONSTITUYENTES AV.;4184;-345.844.201.631.164;-584.893.614.564.877;App BA 147;Femenino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;20/6/2021;12:13:06 AM;00:00;13;BELGRANO;MIGUELETES;2100;-345.561.576.201.602;-584.466.225.325.059;App BA 147;Masculino;Cerrado;22/6/2021;8:05:48 AM;;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;INSTALACIÓN DE CAMPANA VERDE;Reporte;20/6/2021;11:53:10 PM;00:00;13;BELGRANO;CONGRESO;1810;-345.524.954.258.881;-5.845.670.180.864;App BA 147;Masculino;Cerrado;25/6/2021;8:54:41 AM;;
