categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;tiempo_de_cierre;Column1
ALUMBRADO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,1/1/2021,12:01:50 PM,12:00:00,15,PARQUE CHAS,TRIUNVIRATO AV.,3942,-34.57982259,-58.476395,App Denuncia Vial,Masculino,Cerrado,06/01/2021,6:30:59 AM,5,
ARBOLADO Y ESPACIOS VERDES,INCONVENIENTES EN CENTRO DE SALUD NIVEL 1,INCONVENIENTES EN CENTRO DE SALUD NIVEL 1,QUEJA,2/1/2021,12:02:22 PM,12:00:00,15,PATERNAL,,,-34.60088446,-58.4590664,GCS Web,Femenino,Abierto,,,,
ARBOLADO Y ESPACIOS VERDES,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2/1/2021,11:59:44 AM,12:00:00,10,VILLA LURO,YERBAL,5999,-34.63804979,-58.51015461,App Denuncia Vial,Masculino,Cerrado,06/01/2021,8:31:22 AM,4,
ARBOLADO Y ESPACIOS VERDES,EXTRACCIÓN DE ÁRBOL,EXTRACCIÓN DE ÁRBOL,SOLICITUD,2/1/2021,11:46:01 AM,12:00:00,6,CABALLITO,ARANGUREN; JUAN F.; DR.,1710,-34.61975952,-58.45578719,GCS Web,Masculino,Abierto,,,,
ARBOLADO Y ESPACIOS VERDES,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2/1/2021,11:45:22 AM,12:00:00,11,VILLA GRAL. MITRE,ARTIGAS; JOSE GERVASIO; GRAL.,1164,-34.61717216,-58.46964805,App BA 147,Masculino,Cerrado,06/01/2021,12:23:35 AM,4,
ARBOLADO Y ESPACIOS VERDES,PROBLEMA CON INTERVENCIONES DE ARBOLADO,PROBLEMAS CON INTERVENCIONES DE ARBOLADO,QUEJA,2/1/2021,12:05:16 PM,12:00:00,12,COGHLAN,RIVERA; PEDRO I.; DR.,3288,-34.56180865,-58.46990538,Call Center,Femenino,Cerrado,11/03/2021,1:31:14 PM,68,
ARBOLADO Y ESPACIOS VERDES,ALCANTARILLAS / SUMIDEROS,DESTAPE DE SUMIDERO/ALCANTARILLA O BOCA DE REGISTRO PLUVIAL,SOLICITUD,2/1/2021,12:14:46 PM,12:00:00,7,PARQUE CHACABUCO,ALBARRACIN,,-34.63568425,-58.42977384,App BA 147,Masculino,Cerrado,04/01/2021,12:37:00 PM,2,
ARBOLADO Y ESPACIOS VERDES,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,2/1/2021,12:05:31 PM,12:00:00,6,CABALLITO,ARANGUREN; JUAN F.; DR.,1624,-34.61944182,-58.45484833,GCS Web,Masculino,Cerrado,15/01/2021,10:52:00 AM,13,
ARBOLADO Y ESPACIOS VERDES,PLANTACIÓN DE ÁRBOL,PLANTACIÓN DE ÁRBOL,SOLICITUD,2/1/2021,12:04:41 PM,12:00:00,12,COGHLAN,RIVERA; PEDRO I.; DR.,3288,-34.56180865,-58.46990538,Call Center,Femenino,Abierto,,,,
ARBOLADO Y ESPACIOS VERDES,CONTROL DE OBRAS,CONSTRUCCIÓN SIN PERMISO,DENUNCIA,2/1/2021,11:51:59 AM,12:00:00,15,PARQUE CHAS,ALTOLAGUIRRE,1710,-34.58379713,-58.48552559,App BA 147,Femenino,Cerrado,28/01/2021,3:49:49 PM,26,
ARBOLADO Y ESPACIOS VERDES,INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),QUEJA,2/1/2021,11:50:38 AM,12:00:00,,,,,,,GCS Web,Masculino,Abierto,,,,
ARBOLADO Y ESPACIOS VERDES,INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),QUEJA,2/1/2021,11:57:07 AM,12:00:00,,,,,,,GCS Web,Masculino,Abierto,,,,
ARBOLADO Y ESPACIOS VERDES,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2/1/2021,11:46:53 AM,12:00:00,12,VILLA URQUIZA,CERETTI,2179,-34.58015592,-58.49136755,GCS Web,Masculino,Cerrado,06/01/2021,12:24:08 AM,4,
ARBOLADO Y ESPACIOS VERDES,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2/1/2021,11:48:24 AM,12:00:00,15,VILLA CRESPO,LOYOLA,173,-34.59886112,-58.43273128,App BA 147,Femenino,Cerrado,07/01/2021,10:36:09 PM,5,
BARRIOS EMERGENTES,CESTOS Y CONTENEDORES,REPARACIÓN DE CONTENEDOR,SOLICITUD,1/1/2021,12:08:29 PM,12:00:00,11,VILLA DEVOTO,MERCEDES,2853,-34.60895157,-58.50489041,GCS Web,Femenino,Cerrado,09/01/2021,3:05:29 PM,8,
BARRIOS EMERGENTES,PARQUES Y PLAZAS,MANTENIMIENTO DE POSTAS AERÓBICAS/ ÁREAS DEPORTIVAS,SOLICITUD,2/1/2021,12:01:46 PM,12:00:00,11,VILLA DEVOTO,,,-34.59936279,-58.51224681,GCS Web,Masculino,Abierto,,,,
BARRIOS EMERGENTES,INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),QUEJA,2/1/2021,12:07:28 PM,12:00:00,,,,,,,GCS Web,Femenino,Abierto,,,,
BARRIOS EMERGENTES,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2/1/2021,12:12:18 PM,12:00:00,6,CABALLITO,CUCHA CUCHA,979,-34.61111151,-58.44894523,GCS Web,Masculino,Cerrado,04/01/2021,3:21:04 PM,2,
BARRIOS EMERGENTES,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,2/1/2021,12:09:29 PM,12:00:00,13,BELGRANO,MONROE,1072,-34.55020059,-58.44616908,GCS Web,Femenino,Cerrado,05/01/2021,9:24:40 AM,3,
BARRIOS EMERGENTES,PLAGAS / ENFERMEDADES EN ÁRBOL,ÁRBOL CON ENFERMEDADES,REPORTE,2/1/2021,12:12:20 PM,12:00:00,12,VILLA PUEYRREDON,PAREJA,3191,-34.59227572,-58.50262412,GCS Web,Masculino,Cerrado,05/01/2021,9:02:18 AM,3,
BARRIOS EMERGENTES,PLANTACIÓN DE ÁRBOL,PLANTACIÓN DE ÁRBOL,SOLICITUD,2/1/2021,12:12:51 PM,12:00:00,10,FLORESTA,CUENCA,814,-34.62303014,-58.47754999,App BA 147,Femenino,Abierto,,,,
CALLES Y VEREDAS,OCUPACIÓN INDEBIDA,DESOBSTRUCCIÓN (VACTOR),SOLICITUD,2/1/2021,12:01:23 PM,12:00:00,7,FLORES,,,-34.64565049,-58.4419436,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
CALLES Y VEREDAS,ENFERMEDADES TRANSMITIDAS POR MOSQUITOS,CRIADEROS DE MOSQUITOS,REPORTE,3/1/2021,11:58:58 AM,12:00:00,10,MONTE CASTRO,PAZ; MARCOS,2146,-34.61925616,-58.50326851,App BA 147,Masculino,Abierto,,,,
CALLES Y VEREDAS,RECUPERADOR URBANO Y CAMIONES DE RECICLADO,LIMPIEZA/HIGIENIZACIÓN DE ESPACIOS PÚBLICOS POR ASENTAMIENTOS PRECARIOS,SOLICITUD,3/1/2021,12:06:50 PM,12:00:00,1,MONSERRAT,BELGRANO AV.,101,-34.61217956,-58.36859784,GCS Web,Femenino,Cerrado,05/01/2021,8:54:41 PM,2,
CALLES Y VEREDAS,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,3/1/2021,12:05:02 PM,12:00:00,8,VILLA SOLDATI,RABANAL; FRANCISCO; INTENDENTE AV.,2144,-34.65935168,-58.42686112,App Denuncia Vial,Masculino,Cerrado,06/01/2021,8:33:56 AM,3,
CALLES Y VEREDAS,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,2/1/2021,12:09:02 PM,12:00:00,6,CABALLITO,ARANGUREN; JUAN F.; DR.,1574,-34.61924141,-58.45426952,GCS Web,Masculino,Cerrado,05/01/2021,2:08:05 PM,3,
CALLES Y VEREDAS,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,2/1/2021,12:02:44 PM,12:00:00,6,CABALLITO,ARANGUREN; JUAN F.; DR.,1662,-34.61951993,-58.4550768,GCS Web,Masculino,Cerrado,15/01/2021,10:49:35 AM,13,
CALLES Y VEREDAS,OCUPACIÓN INDEBIDA,DESOBSTRUCCIÓN (VACTOR),SOLICITUD,2/1/2021,11:51:57 AM,12:00:00,15,CHACARITA,,,-34.58432299,-58.45669652,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
CALLES Y VEREDAS,ELEMENTOS CON IMPACTO AMBIENTAL,DESAGOTE DE POZO CIEGO (ATMOSFÉRICO),SOLICITUD,2/1/2021,11:54:41 AM,12:00:00,7,FLORES,,,-34.64919696,-58.44041776,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
CALLES Y VEREDAS,,CRUCE PELIGROSO O CALLE CON INCONVENIENTES VIALES,REPORTE,3/1/2021,12:03:58 PM,12:00:00,2,RECOLETA,BILLINGHURST,1497,-34.59304685,-58.4121838,GCS Web,Masculino,Abierto,,,,
CALLES Y VEREDAS,MARCAS VIALES Y SEÑALES EN CALLE,REPARACIÓN DE VEREDA ROTA POR EMPRESA DE SERVICIO,SOLICITUD,3/1/2021,12:00:15 PM,12:00:00,3,SAN CRISTOBAL,PAVON,3150,-34.62857105,-58.40916356,App BA 147,Femenino,Abierto,,,,
CALLES Y VEREDAS,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,3/1/2021,12:10:49 PM,12:00:00,15,VILLA CRESPO,MUÑECAS,1177,-34.59741019,-58.44918446,GCS Web,Femenino,Cerrado,07/01/2021,10:36:19 PM,4,
CALLES Y VEREDAS,LIMPIEZA DE VÍA PÚBLICA,RECOLECCIÓN DE RESIDUOS FUERA DEL CONTENEDOR,SOLICITUD,2/1/2021,12:07:49 PM,12:00:00,11,VILLA GRAL. MITRE,ESTADO PLURINACIONAL DE BOLIVIA,1238,-34.61700238,-58.47162248,GCS Web,Masculino,Cerrado,03/01/2021,10:47:55 PM,1,
CALLES Y VEREDAS,INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),QUEJA,3/1/2021,12:06:28 PM,12:00:00,,,,,,,GCS Web,Masculino,Abierto,,,,
CALLES Y VEREDAS,PODA DE ÁRBOL Y DESPEJE DE LUMINARIA,PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO,SOLICITUD,3/1/2021,11:57:17 AM,12:00:00,12,VILLA URQUIZA,LAVOISIER,3436,-34.56925556,-58.50140184,App BA 147,Masculino,Abierto,,,,
CALLES Y VEREDAS,EXTRACCIÓN DE ÁRBOL,EXTRACCIÓN DE ÁRBOL,SOLICITUD,3/1/2021,11:46:23 AM,12:00:00,12,VILLA URQUIZA,OLAZABAL AV.,4621,-34.57369148,-58.48114559,GCS Web,Masculino,Cerrado,05/01/2021,9:01:05 AM,2,
CALLES Y VEREDAS,EXTRACCIÓN DE ÁRBOL,EXTRACCIÓN DE ÁRBOL,SOLICITUD,3/1/2021,11:51:56 AM,12:00:00,12,VILLA URQUIZA,OLAZABAL AV.,4675,-34.57389496,-58.48149747,GCS Web,Masculino,Cerrado,05/01/2021,9:01:18 AM,2,
CALLES Y VEREDAS,EXTRACCIÓN DE ÁRBOL,EXTRACCIÓN DE ÁRBOL,SOLICITUD,3/1/2021,11:58:33 AM,12:00:00,12,VILLA URQUIZA,OLAZABAL AV.,4715,-34.57417056,-58.48197012,GCS Web,Masculino,Cerrado,05/01/2021,9:01:43 AM,2,
CALLES Y VEREDAS,EXTRACCIÓN DE ÁRBOL,EXTRACCIÓN DE ÁRBOL,SOLICITUD,3/1/2021,12:14:41 PM,12:00:00,12,VILLA URQUIZA,PACHECO,1977,-34.57670373,-58.48026303,GCS Web,Masculino,Cerrado,05/01/2021,9:02:48 AM,2,
CALLES Y VEREDAS,RESIDUOS VOLUMINOSOS,RETIRO DE RESTOS DE JARDINERÍA DOMICILIARIA,SERVICIO,3/1/2021,11:58:06 AM,12:00:00,12,VILLA URQUIZA,SUCRE; ANTONIO JOSE DE; MCAL.,3840,-34.57231546,-58.46931036,GCS Web,Femenino,Cerrado,06/01/2021,9:53:49 PM,3,
CALLES Y VEREDAS,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,3/1/2021,12:09:20 PM,12:00:00,13,BELGRANO,MONROE AV.,3600,-34.56546733,-58.47121879,App Denuncia Vial,Masculino,Cerrado,06/01/2021,8:33:56 AM,3,
CALLES Y VEREDAS,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,3/1/2021,12:11:25 PM,12:00:00,11,VILLA DEVOTO,LLAVALLOL,4756,-34.58987395,-58.50928789,App Denuncia Vial,Masculino,Cerrado,06/01/2021,8:33:57 AM,3,
CALLES Y VEREDAS,REPARACIÓN DE LUMINARIA,REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE,SOLICITUD,3/1/2021,12:12:34 PM,12:00:00,4,BARRACAS,VILLAFAÑE; WENCESLAO,1586,-34.63512361,-58.37379908,GCS Web,Femenino,Cerrado,24/02/2021,4:22:33 PM,52,
CALLES Y VEREDAS,VEHÍCULOS ABANDONADOS,REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO,SOLICITUD,3/1/2021,12:09:49 PM,12:00:00,12,VILLA URQUIZA,IBERA,4587,-34.56439662,-58.48521101,App BA 147,Masculino,Cerrado,21/04/2021,6:52:52 PM,108,
CALLES Y VEREDAS,OCUPACIÓN INDEBIDA,DESOBSTRUCCIÓN (VACTOR),SOLICITUD,2/1/2021,11:56:55 AM,12:00:00,1,PUERTO MADERO,,,-34.61877826,-58.35301787,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
CALLES Y VEREDAS,OCUPACIÓN INDEBIDA,DESOBSTRUCCIÓN (VACTOR),SOLICITUD,2/1/2021,11:57:59 AM,12:00:00,1,PUERTO MADERO,,,-34.61877826,-58.35301787,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
CALLES Y VEREDAS,OCUPACIÓN INDEBIDA,DESOBSTRUCCIÓN (VACTOR),SOLICITUD,2/1/2021,11:50:27 AM,12:00:00,15,CHACARITA,,,-34.58432299,-58.45669652,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
CALLES Y VEREDAS,RESIDUOS VOLUMINOSOS,RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS),SERVICIO,2/1/2021,12:00:05 PM,12:00:00,10,MONTE CASTRO,LASCANO,4756,-34.61875966,-58.50644744,App BA 147,Masculino,Cerrado,07/01/2021,12:19:46 PM,5,
CALLES Y VEREDAS,RESIDUOS VOLUMINOSOS,RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS),SERVICIO,1/1/2021,11:45:10 AM,12:00:00,12,VILLA URQUIZA,GALVAN,3415,-34.5637732,-58.49014452,App BA 147,Femenino,Cerrado,03/01/2021,10:41:50 PM,2,
CALLES Y VEREDAS,INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),QUEJA,3/1/2021,11:48:50 AM,12:00:00,,,,,,,GCS Web,Masculino,Abierto,,,,
CALLES Y VEREDAS,,HIGIENIZACIÓN; DESRATIZACIÓN; SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA,SOLICITUD,3/1/2021,11:58:01 AM,12:00:00,6,CABALLITO,BONIFACIO; JOSE,251,-34.62619443,-58.43057356,GCS Web,Femenino,Abierto,,,,
CALLES Y VEREDAS,INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),QUEJA,3/1/2021,11:58:08 AM,12:00:00,,,,,,,GCS Web,Masculino,Abierto,,,,
CALLES Y VEREDAS,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA POR RAÍCES DE ÁRBOL QUE PRODUCEN ROTURAS,SOLICITUD,3/1/2021,12:14:57 PM,12:00:00,11,VILLA DEVOTO,CAMPANA,5514,-34.58295696,-58.51346943,App BA 147,Femenino,Cerrado,12/03/2021,11:43:27 AM,68,
CALLES Y VEREDAS,ELEMENTOS CON IMPACTO AMBIENTAL,DESAGOTE DE POZO CIEGO (ATMOSFÉRICO),SOLICITUD,2/1/2021,11:53:26 AM,12:00:00,7,FLORES,,,-34.64919696,-58.44041776,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
CONTROL EDILICIO; OBRAS Y CATASTRO,OCUPACIÓN INDEBIDA,DESOBSTRUCCIÓN (VACTOR),SOLICITUD,2/1/2021,11:49:25 AM,12:00:00,15,CHACARITA,,,-34.58432299,-58.45669652,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
CONTROL EDILICIO; OBRAS Y CATASTRO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,3/1/2021,12:00:29 PM,12:00:00,7,PARQUE CHACABUCO,VIEL,938,-34.62811149,-58.43075903,App Denuncia Vial,Masculino,Cerrado,06/01/2021,8:33:54 AM,3,
CONTROL EDILICIO; OBRAS Y CATASTRO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,3/1/2021,12:01:06 PM,12:00:00,8,VILLA SOLDATI,RABANAL; FRANCISCO; INTENDENTE AV.,2226,-34.6599069,-58.42784817,App Denuncia Vial,Masculino,Cerrado,06/01/2021,8:33:55 AM,3,
CONTROL EDILICIO; OBRAS Y CATASTRO,CESTOS Y CONTENEDORES,REPARACIÓN DE CONTENEDOR,SOLICITUD,3/1/2021,12:07:47 PM,12:00:00,11,VILLA GRAL. MITRE,TRES ARROYOS,1829,-34.61047693,-58.46354916,App BA 147,Femenino,Abierto,,,,
CONTROL EDILICIO; OBRAS Y CATASTRO,INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES),QUEJA,3/1/2021,12:14:39 PM,12:00:00,,,,,,,GCS Web,Femenino,Abierto,,,,
CONTROL EDILICIO; OBRAS Y CATASTRO,MARCAS VIALES Y SEÑALES EN CALLE,REPARACIÓN DE VEREDA ROTA POR EMPRESA DE SERVICIO,SOLICITUD,4/1/2021,11:53:55 AM,12:00:00,11,VILLA DEL PARQUE,SASTRE; MARCOS,2710,-34.60230814,-58.48603294,GCS Web,Masculino,Abierto,,,,
CONTROL EDILICIO; OBRAS Y CATASTRO,RESIDUOS VOLUMINOSOS,RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS),SERVICIO,4/1/2021,12:06:56 PM,12:00:00,12,VILLA URQUIZA,LUGONES,3375,-34.56287615,-58.48691205,App BA 147,Masculino,Cerrado,06/01/2021,12:31:52 AM,2,
CONTROL EDILICIO; OBRAS Y CATASTRO,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,4/1/2021,12:07:49 PM,12:00:00,11,VILLA GRAL. MITRE,ARTIGAS; JOSE GERVASIO; GRAL.,1850,-34.61024013,-58.47518193,GCS Web,Femenino,Cerrado,06/01/2021,12:29:07 AM,2,
CONTROL EDILICIO; OBRAS Y CATASTRO,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,4/1/2021,12:00:45 PM,12:00:00,9,PARQUE AVELLANEDA,MORETO,1457,-34.65082221,-58.47901927,Mail 147,Masculino,Abierto,,,,
DESARROLLO URBANO,LIMPIEZA DE VÍA PÚBLICA,LAVADO DE CONTENEDOR,SOLICITUD,4/1/2021,11:51:36 AM,12:00:00,1,SAN NICOLAS,CORDOBA AV.,1330,-34.59933007,-58.38593838,GCS Web,Masculino,Cerrado,07/01/2021,10:54:15 AM,3,
DESARROLLO URBANO,POSTE DE CABLEADO CON RIESGO DE CAÍDA,REPARACIÓN DE POSTE DE CABLEADO CON RIESGO DE CAÍDA,DENUNCIA,4/1/2021,11:55:09 AM,12:00:00,11,VILLA DEVOTO,GUTENBERG,3715,-34.59551201,-58.51073919,GCS Web,Masculino,Abierto,,,,
DESARROLLO URBANO,CESTOS Y CONTENEDORES,INSTALACIÓN DE CONTENEDOR,SOLICITUD,4/1/2021,11:56:02 AM,12:00:00,6,CABALLITO,BOGOTA,151,-34.61313006,-58.43363455,GCS Web,Femenino,Cerrado,27/01/2021,12:00:28 PM,23,
DESARROLLO URBANO,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,4/1/2021,11:59:04 AM,12:00:00,2,RECOLETA,FRENCH,2884,-34.58819927,-58.40387588,GCS Web,Masculino,Cerrado,05/01/2021,8:37:30 PM,1,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,SUBTES,MEJORA DE BARRIDO,QUEJA,4/1/2021,12:06:45 PM,12:00:00,10,FLORESTA,ÑANDUTI,1456,-34.62171754,-58.4934801,GCS Web,Masculino,Cerrado,06/01/2021,12:38:16 PM,2,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,4/1/2021,12:04:49 PM,12:00:00,9,PARQUE AVELLANEDA,DIRECTORIO AV.,4059,-34.64189889,-58.4807376,GCS Web,Femenino,Cerrado,09/01/2021,12:02:42 PM,5,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,4/1/2021,12:11:59 PM,12:00:00,14,PALERMO,3 DE FEBRERO,765,-34.5709723,-58.44032444,GCS Web,Femenino,Cerrado,07/01/2021,10:19:00 AM,3,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,ELEMENTOS CON IMPACTO AMBIENTAL,DESAGOTE DE POZO CIEGO (ATMOSFÉRICO),SOLICITUD,2/1/2021,11:55:51 AM,12:00:00,7,FLORES,,,-34.64919696,-58.44041776,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,OCUPACIÓN INDEBIDA,DESOBSTRUCCIÓN (VACTOR),SOLICITUD,2/1/2021,11:59:09 AM,12:00:00,7,FLORES,,,-34.64565049,-58.4419436,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,OCUPACIÓN INDEBIDA,DESOBSTRUCCIÓN (VACTOR),SOLICITUD,2/1/2021,12:00:17 PM,12:00:00,1,PUERTO MADERO,,,-34.61877826,-58.35301787,Operador UGIS,,Cerrado,06/01/2021,3:24:59 PM,4,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,HIGIENE Y SEGURIDAD ALIMENTARIA,HIGIENE DEFICIENTE EN ESTABLECIMIENTOS,DENUNCIA,4/1/2021,11:48:32 AM,12:00:00,6,CABALLITO,YERBAL,1008,-34.62066486,-58.44507092,GCS Web,Masculino,Cerrado,04/01/2021,4:16:09 PM,,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,PROPUESTAS PARA LA MEJORA EN TRÁMITES,PROPUESTAS PARA LA MEJORA EN TRÁMITES,QUEJA,4/1/2021,12:08:14 PM,12:00:00,,,,,,,GCS Web,Masculino,Abierto,,,,
FISCALIZACIÓN ACTIVIDADES COMERCIALES,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA POR RAÍCES DE ÁRBOL QUE PRODUCEN ROTURAS,SOLICITUD,4/1/2021,12:03:02 PM,12:00:00,11,VILLA DEL PARQUE,SASTRE; MARCOS,2638,-34.60170225,-58.48499023,GCS Web,Masculino,Abierto,,,,
LIMPIEZA Y RECOLECCIÓN,HIGIENE Y SEGURIDAD ALIMENTARIA,HIGIENE DEFICIENTE EN ESTABLECIMIENTOS,DENUNCIA,4/1/2021,11:55:55 AM,12:00:00,8,VILLA LUGANO,SOMELLERA,4859,-34.6697076,-58.46944914,App BA 147,Masculino,Cerrado,04/01/2021,4:16:48 PM,,
LIMPIEZA Y RECOLECCIÓN,CESTOS Y CONTENEDORES,INSTALACIÓN DE CAMPANA VERDE,REPORTE,4/1/2021,12:06:22 PM,12:00:00,15,VILLA CRESPO,ACOYTE,1245,-34.60476679,-58.44139499,App BA 147,Femenino,Cerrado,04/01/2021,6:35:22 PM,,
LIMPIEZA Y RECOLECCIÓN,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,4/1/2021,11:46:18 AM,12:00:00,11,VILLA DEL PARQUE,SASTRE; MARCOS,2725,-34.60226038,-58.48615204,GCS Web,Masculino,Abierto,,,,
LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,4/1/2021,11:53:35 AM,12:00:00,5,ALMAGRO,SALGUERO; JERONIMO,717,-34.6017973,-58.41926008,GCS Web,Femenino,Cerrado,06/01/2021,4:52:17 PM,2,
LIMPIEZA Y RECOLECCIÓN,LIMPIEZA DE VÍA PÚBLICA,RECOLECCIÓN DE RESIDUOS FUERA DEL CONTENEDOR,SOLICITUD,4/1/2021,12:06:56 PM,12:00:00,13,COLEGIALES,DELGADO,1525,-34.57557349,-58.46230766,App BA 147,Femenino,Cerrado,07/01/2021,10:18:57 AM,3,
LIMPIEZA Y RECOLECCIÓN,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA POR RAÍCES DE ÁRBOL QUE PRODUCEN ROTURAS,SOLICITUD,4/1/2021,12:13:31 PM,12:00:00,7,FLORES,AROMA,2366,-34.64264772,-58.45044727,GCS Web,Femenino,Abierto,,,,
LIMPIEZA Y RECOLECCIÓN,REPARACIÓN DE LUMINARIA,CONSULTA DE ESTADO DE EXPEDIENTE ANTE LA AGENCIA DE PROTECCIÓN AMBIENTAL,SOLICITUD,4/1/2021,11:53:17 AM,12:00:00,9,PARQUE AVELLANEDA,PERON; EVA AV.,4350,-34.65310139,-58.4734355,GCS Web,Femenino,Cerrado,11/01/2021,2:51:12 PM,7,
