categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;tiempo_de_cierre;Column1
LIMPIEZA Y RECOLECCIÓN;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;4/1/2021;11:59:22 PM;00:00:00;12;VILLA PUEYRREDON;CARRIL; SALVADOR MARIA DEL AV.;2439;-34.5874416;-58.49308095;GCS Web;Masculino;Cerrado;06/01/2021;1:36:02 PM;2;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESTOS DE JARDINERÍA DOMICILIARIA;SERVICIO;4/1/2021;12:05:52 AM;00:00:00;13;COLEGIALES;ZAPIOLA;934;-34.57473095;-58.45107053;App BA 147;Masculino;Cerrado;05/01/2021;9:25:58 AM;1;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;4/1/2021;11:48:49 PM;00:00:00;4;BARRACAS;VIEYTES;812;-34.64215777;-58.37958387;App BA 147;Femenino;Cerrado;05/01/2021;9:18:36 PM;1;
LIMPIEZA Y RECOLECCIÓN;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;5/1/2021;12:05:36 AM;00:00:00;1;CONSTITUCION;SOLIS;1705;-34.62822068;-58.38941386;GCS Web;Masculino;Cerrado;07/01/2021;6:19:58 PM;2;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;REPARACIÓN DE CONTENEDOR;SOLICITUD;4/1/2021;11:51:11 PM;00:00:00;15;AGRONOMIA;MELINCUE;;-34.59670481;-58.48475026;App BA 147;Masculino;Cerrado;27/01/2021;2:42:08 PM;23;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;5/1/2021;12:12:32 AM;00:00:00;2;RECOLETA;LARREA;925;-34.59741179;-58.40192652;GCS Web;Femenino;Cerrado;08/01/2021;12:11:15 AM;3;
LIMPIEZA Y RECOLECCIÓN;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;5/1/2021;12:07:31 AM;00:00:00;1;CONSTITUCION;SAN JOSE;1124;-34.62141355;-58.38580461;GCS Web;Femenino;Cerrado;19/01/2021;1:54:48 PM;14;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;4/1/2021;11:55:27 PM;00:00:00;3;SAN CRISTOBAL;URIBURU;826;-34.62063454;-58.41001542;App BA 147;Masculino;Cerrado;05/01/2021;9:18:41 PM;1;
LIMPIEZA Y RECOLECCIÓN;EVALUACIÓN AMBIENTAL;REPARACIÓN DE LUMINARIA POR ARTEFACTO ROTO;SOLICITUD;5/1/2021;12:01:15 AM;00:00:00;11;VILLA GRAL. MITRE;SAN BLAS;1921;-34.60526146;-58.46933243;GCS Web;Femenino;Cerrado;14/01/2021;10:48:29 AM;9;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;RECOLECCIÓN DE RESIDUOS FUERA DEL CONTENEDOR;SOLICITUD;4/1/2021;11:53:01 PM;00:00:00;12;VILLA PUEYRREDON;CARACAS;5150;-34.57832624;-58.49884068;App BA 147;Femenino;Cerrado;05/01/2021;7:26:06 PM;1;
LIMPIEZA Y RECOLECCIÓN;VEHÍCULOS ABANDONADOS;REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO;SOLICITUD;4/1/2021;11:50:53 PM;00:00:00;10;FLORESTA;RAFAELA;3761;-34.63555509;-58.47865847;App BA 147;Masculino;Cerrado;15/01/2021;11:17:13 AM;11;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;RECOLECCIÓN DE RESIDUOS FUERA DEL CONTENEDOR;SOLICITUD;3/1/2021;11:57:15 PM;00:00:00;12;VILLA URQUIZA;CULLEN;5217;-34.5736229;-58.48931234;App BA 147;Femenino;Cerrado;05/01/2021;11:53:12 AM;2;
LIMPIEZA Y RECOLECCIÓN;BICICLETAS;INCONVENIENTES CON EL REGISTRO DE USUARIO DE BA ECOBICI POR TEMBICI;QUEJA;5/1/2021;12:09:08 AM;00:00:00;;;;;;;GCS Web;Femenino;Cerrado;05/01/2021;8:56:35 PM;;
LIMPIEZA Y RECOLECCIÓN;VEHÍCULOS ABANDONADOS;REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO;SOLICITUD;4/1/2021;11:56:21 PM;00:00:00;10;FLORESTA;RAFAELA;3755;-34.63553893;-58.47859009;App BA 147;Masculino;Cerrado;15/01/2021;11:19:34 AM;11;
LIMPIEZA Y RECOLECCIÓN;SUBTES;MEJORA DE BARRIDO;QUEJA;5/1/2021;11:52:43 PM;00:00:00;4;NUEVA POMPEYA;CHARRUA;2701;-34.65259417;-58.43361869;App BA 147;Femenino;Cerrado;06/01/2021;7:16:46 AM;1;
LIMPIEZA Y RECOLECCIÓN;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;SOLICITUD;4/1/2021;11:46:19 PM;00:00:00;15;VILLA CRESPO;DARWIN;620;-34.5938584;-58.44492473;App BA 147;Femenino;Cerrado;21/01/2021;10:09:10 AM;17;
LIMPIEZA Y RECOLECCIÓN;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;3/1/2021;12:00:56 AM;00:00:00;4;BARRACAS;AZARA;24;-34.63196675;-58.37260029;App Denuncia Vial;Femenino;Cerrado;06/01/2021;8:33:19 AM;3;
